# data set 01 -> mariadb-10.1.36
# data set 02 -> mariadb-10.2.18
# data set 03 -> mariadb-10.3.9
# data set 04 -> mysql-5.6.36
# data set 05 -> mysql-5.7.21
# data set 06 -> mysql-8.0.11


# read-only (short ranges)
#thd	01	02	03	04	05	06
1	8368.0	9640.4	9002.1	7841.9	9230.5	7944.8
2	15245	16944	17949	16265	17820	15661
4	27489	33596	31564	29830	34279	30760
8	47967	54945	53310	53808	52773	54474
16	84779	100210	103641	101436	88729	107165
32	117110	161539	158871	158922	147051	157261
64	113281	143182	139558	154764	150739	156445
128	116210	139770	137192	153399	143087	155835
256	118996	138400	135884	147723	137629	155950


# read-only (long ranges)
#thd	01	02	03	04	05	06
1	4000.7	4131.2	4417.1	2525.0	4471.5	3589.9
2	7723.3	7774.1	8327.4	4722.5	9238.1	7092.5
4	14444	15407	15367	8502.1	16198	11324
8	22647	26269	25991	16088	26723	20181
16	46210	52881	54505	36213	51968	42210
32	61801	76069	75818	55917	75905	53002
64	62615	70801	70284	54843	77175	53833
128	61092	69250	68318	54635	74666	46004
256	62638	69163	68955	52581	68833	63083
