# data set 01 -> mariadb-10.1.36
# data set 02 -> mariadb-10.2.18
# data set 03 -> mariadb-10.3.9
# data set 04 -> mysql-5.6.36
# data set 05 -> mysql-5.7.21
# data set 06 -> mysql-8.0.11


# read-only (short ranges)
#thd	01	02	03	04	05	06
1	1.5100	1.3000	1.4100	1.5800	1.3700	1.5900
2	1.5600	1.4100	1.3800	1.4600	1.3700	1.5300
4	1.7900	1.3500	1.5000	1.5800	1.3100	1.4500
8	1.8600	1.7900	1.8700	1.7600	1.7800	1.8900
16	2.1300	1.7300	1.7000	1.7100	2.0100	1.6100
32	2.9400	2.2600	2.2900	2.1500	2.4200	2.1500
64	6.5800	5.2400	5.3600	5.7500	4.9700	4.3400
128	12.580	10.390	10.840	10.200	10.090	8.7100
256	47.460	44.390	44.410	47.360	44.200	44.730


# read-only (long ranges)
#thd	01	02	03	04	05	06
1	3.6700	3.5100	2.9500	4.3200	3.3300	3.6900
2	3.4700	3.4800	3.3000	4.9300	2.7400	3.3500
4	3.3300	3.1100	2.9600	5.1100	3.0900	4.1700
8	4.4900	3.9400	3.6800	5.9300	4.2700	5.5500
16	3.7000	3.1600	3.2700	4.5900	3.3100	4.0300
32	5.4100	4.5200	4.6200	6.0700	4.4800	6.3500
64	10.830	9.8800	9.9400	12.710	9.1600	12.600
128	22.250	20.060	20.170	25.220	19.210	35.630
256	64.040	50.060	48.830	84.020	87.450	79.090
