# data set 01 -> mariadb-10.1.36
# data set 02 -> mariadb-10.2.18
# data set 03 -> mariadb-10.3.9
# data set 04 -> mysql-5.6.36
# data set 05 -> mysql-5.7.21
# data set 06 -> mysql-8.0.11


# read-only (short ranges)
#thd	01	02	03	04	05	06
1	1.1900	1.0400	1.1100	1.2700	1.0800	1.2600
2	1.3100	1.1800	1.1100	1.2300	1.1200	1.2800
4	1.4500	1.1900	1.2700	1.3400	1.1700	1.3000
8	1.6700	1.4500	1.5000	1.4900	1.5100	1.4700
16	1.8900	1.6000	1.5400	1.5800	1.8000	1.4900
32	2.7300	1.9800	2.0100	2.0100	2.1700	2.0300
64	5.6500	4.4700	4.5800	4.1300	4.2400	4.0900
128	11.010	9.1600	9.3300	8.3400	8.9400	8.2100
256	21.470	18.470	18.810	17.300	18.530	16.380


# read-only (long ranges)
#thd	01	02	03	04	05	06
1	2.5000	2.4200	2.2600	3.9600	2.2400	2.7800
2	2.5900	2.5700	2.4000	4.2300	2.1600	2.8200
4	2.7700	2.5900	2.6000	4.7000	2.4700	3.5300
8	3.5300	3.0400	3.0800	4.9700	2.9900	3.9600
16	3.4600	3.0200	2.9300	4.4200	3.0800	3.7900
32	5.1800	4.2100	4.2200	5.7200	4.2100	6.0400
64	10.220	9.0400	9.1000	11.670	8.2900	11.890
128	20.950	18.480	18.730	23.420	17.140	27.820
256	40.770	36.990	37.060	48.670	37.180	40.570
