# data set 01 -> mariadb-10.1.36
# data set 02 -> mariadb-10.2.18
# data set 03 -> mariadb-10.3.9
# data set 04 -> mysql-5.6.36
# data set 05 -> mysql-5.7.21
# data set 06 -> mysql-8.0.11


# read-only (short ranges)
#thd	01	02	03	04	05	06
1	7308.8	8184.7	8020.1	6151.6	7234.8	7262.0
2	14090	15229	15308	12181	13546	14339
4	25085	28512	29831	21528	26559	27801
8	43274	51316	51550	39246	43164	51494
16	76782	97134	92415	71065	75132	98776
32	104524	143690	137077	100247	117379	144925
64	105551	121672	123965	101364	119981	144997
128	101807	123353	121965	101324	114877	144768
256	109214	122711	121956	100715	113369	144280


# read-only (long ranges)
#thd	01	02	03	04	05	06
1	2329.2	2500.6	2549.3	1022.5	1762.7	2627.6
2	4506.4	4146.8	4549.1	2030.3	3428.3	4894.4
4	7923.5	8326.4	8352.9	3770.5	6190.6	8774.6
8	14756	15514	15540	6562.3	10844	17141
16	31533	35028	34324	13969	23378	38357
32	39893	42167	42550	18348	28874	49924
64	39869	40728	41117	18368	28937	50209
128	39307	41182	40770	18362	28262	49224
256	39330	40952	40746	18448	29148	50035
