# data set 01 -> mariadb-10.1.36
# data set 02 -> mariadb-10.2.18
# data set 03 -> mariadb-10.3.9
# data set 04 -> mysql-5.6.36
# data set 05 -> mysql-5.7.21
# data set 06 -> mysql-8.0.11


# read-only (short ranges)
#thd	01	02	03	04	05	06
1	1.3700	1.2200	1.2500	1.6200	1.3800	1.3800
2	1.4200	1.3100	1.3100	1.6400	1.4800	1.3900
4	1.5900	1.4000	1.3400	1.8600	1.5000	1.4400
8	1.8500	1.5600	1.5500	2.0400	1.8500	1.5500
16	2.0800	1.6500	1.7300	2.2500	2.1300	1.6200
32	3.0600	2.2300	2.3300	3.1900	2.7200	2.2100
64	6.0600	5.2600	5.1600	6.3100	5.3300	4.4100
128	12.570	10.370	10.490	12.630	11.140	8.8400
256	23.400	20.820	20.940	25.370	22.520	17.720


# read-only (long ranges)
#thd	01	02	03	04	05	06
1	4.2900	4.0000	3.9200	9.7800	5.6700	3.8000
2	4.4400	4.8200	4.3900	9.8500	5.8300	4.0800
4	5.0500	4.8000	4.7900	10.610	6.4600	4.5600
8	5.4200	5.1500	5.1500	12.190	7.3700	4.6700
16	5.0700	4.5700	4.6600	11.450	6.8400	4.1700
32	8.0200	7.5900	7.5200	17.440	11.080	6.4000
64	16.050	15.710	15.560	34.830	22.110	12.740
128	32.540	31.080	31.390	69.680	45.280	26.000
256	64.970	62.490	62.800	138.65	87.790	51.150
