# data set 01 -> mariadb-10.1.36
# data set 02 -> mariadb-10.2.18
# data set 03 -> mariadb-10.3.9
# data set 04 -> mysql-5.6.36
# data set 05 -> mysql-5.7.21
# data set 06 -> mysql-8.0.11


# read-only (short ranges)
#thd	01	02	03	04	05	06
1	5710.9	6197.2	6212.1	4741.2	6086.3	6744.6
2	11056	11199	11072	9180.4	11206	13233
4	19794	21812	21491	17038	21798	25630
8	34424	36771	38310	30723	35635	45858
16	62357	69827	72045	58600	62925	91982
32	80869	99099	94114	74751	95685	129141
64	84595	91883	89896	74777	93243	129005
128	79930	90011	90026	74598	94766	129264
256	84688	92037	92578	74878	93085	128756


# read-only (long ranges)
#thd	01	02	03	04	05	06
1	1198.5	1281.4	1300.1	693.72	1159.9	2017.8
2	2399.2	2459.5	2350.8	1348.1	2282.6	3834.0
4	4312.1	4545.5	4516.4	2542.8	4082.7	6918.4
8	7474.7	7945.3	7854.2	4658.5	7269.6	12345
16	15971	16729	16956	8948.4	14873	26120
32	18506	19507	19730	10545	17804	31266
64	18466	19277	19375	10504	17743	31126
128	18078	18982	19146	10470	17681	29915
256	18523	19130	19425	10579	18730	32363
