# data set 01 -> mariadb-10.1.36
# data set 02 -> mariadb-10.2.18
# data set 03 -> mariadb-10.3.9
# data set 04 -> mysql-5.6.36
# data set 05 -> mysql-5.7.21
# data set 06 -> mysql-8.0.11


# read-only (short ranges)
#thd	01	02	03	04	05	06
1	2.1800	2.0100	2.0400	3.0200	2.0500	1.8700
2	2.2000	2.1500	2.2000	2.8800	2.1100	1.8000
4	2.2700	2.1400	2.1700	2.7800	2.1100	1.7500
8	2.5700	2.3800	2.7700	2.9400	2.5000	2.3000
16	2.7500	2.4300	2.3900	2.8800	2.7400	1.8600
32	4.0900	3.5200	3.6700	4.4100	3.6500	2.5900
64	8.5000	7.7000	7.7900	9.1900	7.5600	7.3500
128	19.220	15.590	15.580	18.320	14.990	10.420
256	48.960	44.730	44.730	54.500	44.530	44.420


# read-only (long ranges)
#thd	01	02	03	04	05	06
1	10.520	9.9600	8.1300	14.660	8.8400	5.1300
2	8.5400	9.9900	10.350	18.770	9.1700	5.8800
4	10.850	10.100	10.290	18.810	11.420	6.4500
8	13.620	10.770	15.180	19.130	11.850	9.4900
16	10.180	9.7800	9.6000	18.010	10.980	6.3100
32	17.730	17.010	17.040	30.900	18.700	10.640
64	44.580	47.260	34.970	75.120	52.610	21.500
128	75.660	70.710	78.260	147.36	87.930	52.920
256	175.24	168.86	165.26	318.80	175.30	117.20
