# data set 01 -> mariadb-10.1.36
# data set 02 -> mariadb-10.2.18
# data set 03 -> mariadb-10.3.9
# data set 04 -> mysql-5.6.36
# data set 05 -> mysql-5.7.21
# data set 06 -> mysql-8.0.11


# read-only (short ranges)
#thd	01	02	03	04	05	06
1	5250.8	5794.1	5622.1	4703.1	5976.8	7309.9
2	10139	10825	10188	8904.4	11200	14859
4	18703	20297	20166	17226	21001	27410
8	33096	36225	34266	30771	34525	50028
16	59720	69440	64133	58466	61041	97444
32	78266	91100	89883	74583	91995	136156
64	79503	87080	83062	75628	92361	137810
128	75605	87440	82443	72620	91759	138099
256	77815	88144	85764	75152	94085	137945


# read-only (long ranges)
#thd	01	02	03	04	05	06
1	1035.4	1124.5	1108.1	646.87	1021.1	2332.3
2	1960.8	2136.1	2098.9	1282.0	1992.2	4494.1
4	3766.2	4016.9	4003.4	2358.3	3703.5	7827.9
8	6922.9	7087.8	6839.0	4164.1	6468.4	14464
16	13916	14697	14419	8358.0	13119	29754
32	16037	16840	16774	9953.3	15986	36953
64	15904	16594	16178	9967.8	16062	36544
128	15269	16443	16368	9893.9	15927	34227
256	15897	16571	16730	10315	16711	39400
